title, url, language, featured, publishing_date,
Privacy groups oppose Kerala govt’s order mandating Aadhaar for govt jobs, https://www.thenewsminute.com/article/privacy-groups-oppose-kerala-govt-s-order-mandating-aadhaar-govt-jobs-127705, en, false, 01/07/2020,
Compulsory Aadhaar verification: Digital rights organisations oppose Kerala govt's order, https://timesofindia.indiatimes.com/city/kochi/compulsory-aadhaar-verification-digital-rights-organisations-oppose-kerala-govts-order/articleshow/76706050.cms, en, false, 30/06/2020,
This free software collective is taking Malayalam computing to the next level, https://www.edexlive.com/people/2020/may/06/this-free-software-collective-is-taking-malayalam-computing-to-the-next-level-11834.html, en, false, 06/05/2020,
Sharing details of people in quarantine invasion of privacy: Activists, https://www.outlookindia.com/newsscroll/sharing-details-of-people-in-quarantine-invasion-of-privacy-activists/1786906, en, false, 31/03/2020,
Meet the man who taught Malayalam script to computers, https://www.thehindu.com/news/cities/Thiruvananthapuram/making-computer-malayalam-literate/article29122084.ece, en, false, 18/08/2019,
മഞ്ജരി വൃത്തത്തില്‍ ഒരാള്‍, https://www.mathrubhumi.com/technology/web/manjari-font-new-malayalam-font-laguage-technology-santhosh-thottingal-swathanthra-malayalam-com-malayalam-news-1.1237168, ml, true, 26/07/2016,
മഞ്ജരി-മലയാളത്തിന് പുതിയൊരു യുണികോഡ് അക്ഷരം കൂടി, https://www.mathrubhumi.com/technology/web/manjari-font-new-malayalam-font-laguage-technology-santhosh-thottingal-swathanthra-malayalam-com-malayalam-news-1.1224474, ml, true, 23/07/2016,
SMC's Indic Keyboard now supports 23 languages in Asia, http://www.medianama.com/2015/06/223-smc-indic-keyboard-language-support/, en, false, 29/06/2015,
Enhanced Android keyboard for Indian languages released, https://www.thehindu.com/todays-paper/tp-national/tp-kerala/enhanced-android-keyboard-for-indian-languages-released/article7291192.ece, en, false,07/06/2015,
Helping Malayalam Take the Digital Leap, https://www.newindianexpress.com/cities/thiruvananthapuram/2016/feb/22/Helping-Malayalam-Take-the-Digital-Leap-895430.html, en, false, 22/02/2016,
New ornamental font for Malayalam, https://www.thehindu.com/news/national/kerala/new-ornamental-font-for-malayalam/article22650864.ece, en, true, 04/02/2016,
ഇന്ത്യന്‍ ഭാഷകളെ കൈപിടിച്ചു നടത്താന്‍ മലയാളം, http://archives.mathrubhumi.com/agriculture/swathanthra-malayalam-computing-smc-free-software-indic-indic-project-icfo-ss-508229.html,ml, true, 17/12/2014,
Updated: This new Indic Keyboard allows you to type in 15 Indian languages on Android, https://www.medianama.com/2014/04/223-indic-keyboard-android/, en, false, 01/04/2014,
Supporting Malayalam might soon become easier for app developers, http://www.medianama.com/2014/03/223-developers-malayalam-apps/, en, false, 21/03/2014,
ICFOSS Standardizes Malayalam Use on Mobile Platforms, http://www.technoparktoday.com/icfoss-standardizes-malayalam-mobile-platforms/, en,false, 20/03/2014,
Malayalam All Set to Go Mobile, https://www.newindianexpress.com/states/kerala/2014/mar/19/Malayalam-All-Set-to-Go-Mobile-587908.html, en, false,19/03/2014,
ആന്‍ഡ്രോയ്ഡ് ഫോണില്‍ മലയാളമെഴുതാന്‍ ഇന്‍ഡിക് കീബോര്‍ഡ്, http://mathrubhumi.com/technology/mobile/indic-keyboard-android-swathanthra-malayalam-computing-smc-icfoss-language-computing-436943/, ml, false, 13/03/2014,
Malayalam's Wiki warrior, https://www.thehindu.com/features/metroplus/society/Malayalams-Wiki-warrior/article14958502.ece, en, true,23/03/2011,
Firefox Malayalam version fully loaded, https://www.thehindu.com/todays-paper/tp-national/tp-kerala/Firefox-Malayalam-version-fully-loaded/article15779619.ece, en, false, 14/10/2010,
